repository_name,date,views,unique_visitors/cloners
academic-ads-bibtex,2022-08-09,7,1
Evolution-of-Galaxies,2022-08-02,11,1
figshare_test2,2022-08-04,9,1
github-stats,2022-08-10,1,1
github-stats-pages,2022-07-31,19,2
github-stats-pages,2022-08-01,14,6
github-stats-pages,2022-08-02,9,1
github-stats-pages,2022-08-03,1,1
github-stats-pages,2022-08-04,5,3
github-stats-pages,2022-08-07,2,2
github-stats-pages,2022-08-08,1,1
github-stats-pages,2022-08-12,1,1
github-stats-pages,2022-08-13,1,1
site-hugo-academic,2022-08-08,16,1
sqltest-github-stats,2022-08-01,4,1
sqltest-github-stats,2022-08-02,17,1
sqltest-github-stats,2022-08-03,11,1
sqltest-github-stats,2022-08-04,9,1
sqltest-github-stats,2022-08-07,14,1
sqltest-github-stats,2022-08-08,11,1
sqltest-github-stats,2022-08-10,3,1
sqltest-github-stats,2022-08-12,3,1
