repository_name,date,clones,unique_visitors/cloners
academic-ads-bibtex,2023-09-16,2,2
academic-ads-bibtex,2023-09-22,1,1
chun_codes,2023-09-16,2,2
chun_codes,2023-09-20,1,1
chun_codes,2023-09-28,2,1
Evolution-of-Galaxies,2023-09-17,1,1
Evolution-of-Galaxies,2023-09-20,1,1
Extract1D,2023-09-16,1,1
figshare-actions-publish-test,2023-09-16,1,1
figshare-actions-publish-test,2023-09-21,2,1
figshare-actions-publish-test,2023-09-22,1,1
figshare-actions-publish-test,2023-09-26,2,1
figshare_actions2,2023-09-24,5,1
